"PlantID","long","lat"
"Ac.2.1",-80.0388,43.63074
"Ac.2.2",-80.0388,43.63074
"Ac.2.3",-80.0388,43.63074
"Ac.2.4",-80.0388,43.63074
"Ac.2.5",-80.0388,43.63074
"Ac.2.6",-80.0388,43.63074
"Ac.2.7",-80.0388,43.63074
"Ac.2.8",-80.0388,43.63074
"Ac.2.9",-80.0388,43.63074
"Ac.2.10",-80.0388,43.63074
"Ac.3.1",-80.0374,43.63175
"Ac.3.2",-80.0374,43.63175
"Ac.3.3",-80.0374,43.63175
"Ac.3.4",-80.0374,43.63175
"Ac.3.5",-80.0374,43.63175
"Ac.3.6",-80.0374,43.63175
"Ac.3.7",-80.0374,43.63175
"Ac.3.8",-80.0374,43.63175
"Ac.3.9",-80.0374,43.63175
"Ac.3.10",-80.0374,43.63175
"Ac.4.1",-80.03641,43.63385
"Ac.4.2",-80.03641,43.63385
"Ac.4.3",-80.03641,43.63385
"Ac.4.4",-80.03641,43.63385
"Ac.4.5",-80.03641,43.63385
"Ac.4.6",-80.03641,43.63385
"Ac.4.7",-80.03641,43.63385
"Ac.4.8",-80.03641,43.63385
"Ac.4.9",-80.03641,43.63385
"Ac.4.10",-80.03641,43.63385
"Ac.5.1",-80.0342,43.6347
"Ac.5.2",-80.0342,43.6347
"Ac.5.3",-80.0342,43.6347
"Ac.5.4",-80.0342,43.6347
"Ac.5.5",-80.0342,43.6347
"Ac.5.6",-80.0342,43.6347
"Ac.5.7",-80.0342,43.6347
"Ac.5.8",-80.0342,43.6347
"Ac.5.9",-80.0342,43.6347
"Ac.5.10",-80.0342,43.6347
"Ac.6.1",-80.03026,43.63546
"Ac.6.2",-80.03026,43.63546
"Ac.6.3",-80.03026,43.63546
"Ac.6.4",-80.03026,43.63546
"Ac.6.5",-80.03026,43.63546
"Ac.6.6",-80.03026,43.63546
"Ac.6.7",-80.03026,43.63546
"Ac.6.8",-80.03026,43.63546
"Ac.6.9",-80.03026,43.63546
"Ac.6.10",-80.03026,43.63546
"Ac.7.1",-80.02902,43.63655
"Ac.7.2",-80.02902,43.63655
"Ac.7.3",-80.02902,43.63655
"Ac.7.4",-80.02902,43.63655
"Ac.7.5",-80.02902,43.63655
"Ac.7.6",-80.02902,43.63655
"Ac.7.7",-80.02902,43.63655
"Ac.7.8",-80.02902,43.63655
"Ac.7.9",-80.02902,43.63655
"Ac.7.10",-80.02902,43.63655
"Ac.8.1",-80.02594,43.63921
"Ac.8.2",-80.02594,43.63921
"Ac.8.3",-80.02594,43.63921
"Ac.8.4",-80.02594,43.63921
"Ac.8.5",-80.02594,43.63921
"Ac.8.6",-80.02594,43.63921
"Ac.8.7",-80.02594,43.63921
"Ac.8.8",-80.02594,43.63921
"Ac.8.9",-80.02594,43.63921
"Ac.8.10",-80.02594,43.63921
"Ac.9.1",-80.02443,43.64137
"Ac.9.2",-80.02443,43.64137
"Ac.9.3",-80.02443,43.64137
"Ac.9.4",-80.02443,43.64137
"Ac.9.5",-80.02443,43.64137
"Ac.9.6",-80.02443,43.64137
"Ac.9.7",-80.02443,43.64137
"Ac.9.8",-80.02443,43.64137
"Ac.9.9",-80.02443,43.64137
"Ac.9.10",-80.02443,43.64137
"Ac.10.1",-80.01977,43.64544
"Ac.10.2",-80.01977,43.64544
"Ac.10.3",-80.01977,43.64544
"Ac.10.4",-80.01977,43.64544
"Ac.10.5",-80.01977,43.64544
"Ac.10.6",-80.01977,43.64544
"Ac.10.7",-80.01977,43.64544
"Ac.10.8",-80.01977,43.64544
"Ac.10.9",-80.01977,43.64544
"Ac.10.10",-80.01977,43.64544
"Ac.11.1",-80.01716,43.64726
"Ac.11.2",-80.01716,43.64726
"Ac.11.3",-80.01716,43.64726
"Ac.11.4",-80.01716,43.64726
"Ac.11.5",-80.01716,43.64726
"Ac.11.6",-80.01716,43.64726
"Ac.11.7",-80.01716,43.64726
"Ac.11.8",-80.01716,43.64726
"Ac.11.9",-80.01716,43.64726
"Ac.11.10",-80.01716,43.64726
"Ac.12.1",-80.01164,43.65214
"Ac.12.2",-80.01164,43.65214
"Ac.12.3",-80.01164,43.65214
"Ac.12.4",-80.01164,43.65214
"Ac.12.5",-80.01164,43.65214
"Ac.12.6",-80.01164,43.65214
"Ac.12.7",-80.01164,43.65214
"Ac.12.8",-80.01164,43.65214
"Ac.12.9",-80.01164,43.65214
"Ac.12.10",-80.01164,43.65214
"Ac.13.1",-80.00494,43.65852
"Ac.13.2",-80.00494,43.65852
"Ac.13.3",-80.00494,43.65852
"Ac.13.4",-80.00494,43.65852
"Ac.13.5",-80.00494,43.65852
"Ac.13.6",-80.00494,43.65852
"Ac.13.7",-80.00494,43.65852
"Ac.13.8",-80.00494,43.65852
"Ac.13.9",-80.00494,43.65852
"Ac.13.10",-80.00494,43.65852
"Ac.14.1",-80.00051,43.65963
"Ac.14.2",-80.00051,43.65963
"Ac.14.3",-80.00051,43.65963
"Ac.14.4",-80.00051,43.65963
"Ac.14.5",-80.00051,43.65963
"Ac.14.6",-80.00051,43.65963
"Ac.14.7",-80.00051,43.65963
"Ac.14.8",-80.00051,43.65963
"Ac.14.9",-80.00051,43.65963
"Ac.14.10",-80.00051,43.65963
"Ac.15.1",-79.99986,43.66284
"Ac.15.2",-79.99986,43.66284
"Ac.15.3",-79.99986,43.66284
"Ac.15.4",-79.99986,43.66284
"Ac.15.5",-79.99986,43.66284
"Ac.15.6",-79.99986,43.66284
"Ac.15.7",-79.99986,43.66284
"Ac.15.8",-79.99986,43.66284
"Ac.15.9",-79.99986,43.66284
"Ac.15.10",-79.99986,43.66284
"Fe.2.1",-80.3788,43.70629
"Fe.2.2",-80.3788,43.70629
"Fe.2.3",-80.3788,43.70629
"Fe.2.4",-80.3788,43.70629
"Fe.2.5",-80.3788,43.70629
"Fe.2.6",-80.3788,43.70629
"Fe.2.7",-80.3788,43.70629
"Fe.2.8",-80.3788,43.70629
"Fe.2.9",-80.3788,43.70629
"Fe.2.10",-80.3788,43.70629
"Fe.3.1",-80.38032,43.70647
"Fe.3.2",-80.38032,43.70647
"Fe.3.3",-80.38032,43.70647
"Fe.3.4",-80.38032,43.70647
"Fe.3.5",-80.38032,43.70647
"Fe.3.6",-80.38032,43.70647
"Fe.3.7",-80.38032,43.70647
"Fe.3.8",-80.38032,43.70647
"Fe.3.9",-80.38032,43.70647
"Fe.3.10",-80.38032,43.70647
"Fe.4.1",-80.38175,43.70779
"Fe.4.2",-80.38175,43.70779
"Fe.4.3",-80.38175,43.70779
"Fe.4.4",-80.38175,43.70779
"Fe.4.5",-80.38175,43.70779
"Fe.4.6",-80.38175,43.70779
