"PlantID","City","pop","Habitat"
"Fe.1.1","Fergus","1","urban"
"Fe.1.2","Fergus","1","urban"
"Fe.1.3","Fergus","1","urban"
"Fe.1.4","Fergus","1","urban"
"Fe.1.5","Fergus","1","urban"
"Fe.1.6","Fergus","1","urban"
"Fe.1.7","Fergus","1","urban"
"Fe.1.8","Fergus","1","urban"
"Fe.1.9","Fergus","1","urban"
"Fe.1.10","Fergus","1","urban"
"Fe.2.1","Fergus","2","urban"
"Fe.2.2","Fergus","2","urban"
"Fe.2.3","Fergus","2","urban"
"Fe.2.4","Fergus","2","urban"
"Fe.2.5","Fergus","2","urban"
"Fe.2.6","Fergus","2","urban"
"Fe.2.7","Fergus","2","urban"
"Fe.2.8","Fergus","2","urban"
"Fe.2.9","Fergus","2","urban"
"Fe.2.10","Fergus","2","urban"
"Fe.3.1","Fergus","3","urban"
"Fe.3.2","Fergus","3","urban"
"Fe.3.3","Fergus","3","urban"
"Fe.3.4","Fergus","3","urban"
"Fe.3.5","Fergus","3","urban"
"Fe.3.6","Fergus","3","urban"
"Fe.3.7","Fergus","3","urban"
"Fe.3.8","Fergus","3","urban"
"Fe.3.9","Fergus","3","urban"
"Fe.3.10","Fergus","3","urban"
"Fe.4.1","Fergus","4","urban"
"Fe.4.2","Fergus","4","urban"
"Fe.4.3","Fergus","4","urban"
"Fe.4.4","Fergus","4","urban"
"Fe.4.5","Fergus","4","urban"
"Fe.4.6","Fergus","4","urban"
"Fe.4.7","Fergus","4","urban"
"Fe.4.8","Fergus","4","urban"
"Fe.4.9","Fergus","4","urban"
"Fe.4.10","Fergus","4","urban"
"Fe.5.1","Fergus","5","urban"
"Fe.5.2","Fergus","5","urban"
"Fe.5.3","Fergus","5","urban"
"Fe.5.4","Fergus","5","urban"
"Fe.5.5","Fergus","5","urban"
"Fe.5.6","Fergus","5","urban"
"Fe.5.7","Fergus","5","urban"
"Fe.5.8","Fergus","5","urban"
"Fe.5.9","Fergus","5","urban"
"Fe.5.10","Fergus","5","urban"
"Fe.6.1","Fergus","6","urban"
"Fe.6.2","Fergus","6","urban"
"Fe.6.3","Fergus","6","urban"
"Fe.6.4","Fergus","6","urban"
"Fe.6.5","Fergus","6","urban"
"Fe.6.6","Fergus","6","urban"
"Fe.6.7","Fergus","6","urban"
"Fe.6.8","Fergus","6","urban"
"Fe.6.9","Fergus","6","urban"
"Fe.6.10","Fergus","6","urban"
"Fe.7.1","Fergus","7","urban"
"Fe.7.2","Fergus","7","urban"
"Fe.7.3","Fergus","7","urban"
"Fe.7.4","Fergus","7","urban"
"Fe.7.5","Fergus","7","urban"
"Fe.7.6","Fergus","7","urban"
"Fe.7.7","Fergus","7","urban"
"Fe.7.8","Fergus","7","urban"
"Fe.7.9","Fergus","7","urban"
"Fe.7.10","Fergus","7","urban"
"Fe.8.1","Fergus","8","rural"
"Fe.8.2","Fergus","8","rural"
"Fe.8.3","Fergus","8","rural"
"Fe.8.4","Fergus","8","rural"
"Fe.8.5","Fergus","8","rural"
"Fe.8.6","Fergus","8","rural"
"Fe.8.7","Fergus","8","rural"
"Fe.8.8","Fergus","8","rural"
"Fe.8.9","Fergus","8","rural"
"Fe.8.10","Fergus","8","rural"
"Fe.9.1","Fergus","9","rural"
"Fe.9.2","Fergus","9","rural"
