City,PopID,X31,,H04,,B08,,C02,,C10,,C03,,B11,,A05,,G02,,H09,,E05,,B04,,H11,,H06,,C06,,G05,
Guelph,AGe1.1,121,121,355,355,121,121,142,152,222,226,120,120,153,153,121,121,151,159,223,237,130,136,266,288,0,0,105,105,187,187,238,240
Guelph,AGe1.2,125,125,359,361,115,119,142,146,216,222,112,118,155,161,121,121,151,157,223,237,130,130,278,286,0,0,0,0,187,187,238,240
Guelph,AGe1.3,121,125,361,361,115,115,156,156,216,216,118,120,157,157,121,121,165,167,233,235,138,138,266,268,0,0,0,0,0,0,238,240
Guelph,AGe1.4,121,121,361,361,121,121,140,150,216,222,112,120,151,151,121,121,167,171,235,237,132,136,270,276,0,0,103,103,187,187,240,240
Guelph,AGe1.5,119,121,361,361,105,105,140,150,0,0,120,120,151,163,121,121,151,169,231,233,138,138,272,278,177,177,105,105,187,187,238,240
Guelph,AGe1.6,125,125,361,365,115,117,140,140,216,222,110,120,163,163,117,123,161,167,227,237,140,140,262,276,0,0,105,109,183,183,240,240
Guelph,AGe1.7,121,125,355,361,0,0,140,140,216,216,110,120,163,163,123,123,151,169,229,235,130,136,266,272,167,167,105,107,185,185,240,240
Guelph,AGe1.8,121,121,361,369,115,115,140,150,232,232,120,120,157,161,119,123,163,167,235,237,132,136,274,278,163,163,103,105,185,185,236,238
Guelph,AGe1.9,121,125,361,367,129,129,140,140,216,226,118,120,151,163,123,123,161,167,235,235,134,136,270,276,0,0,103,105,187,189,240,240
Guelph,AGe1.10,121,121,355,361,117,117,140,150,220,220,0,0,157,165,119,121,169,169,229,233,132,132,260,270,0,0,103,103,187,187,240,240
Guelph,BGe2.1,121,125,355,359,115,127,0,0,216,224,114,120,157,157,117,117,161,161,229,231,132,134,284,284,163,167,105,105,183,185,238,242
Guelph,BGe2.2,121,125,359,361,121,121,150,150,222,222,120,120,161,161,121,121,167,169,227,235,132,134,274,284,0,0,105,105,0,0,240,240
Guelph,BGe2.3,117,119,361,365,115,115,148,148,216,216,110,118,161,167,117,117,151,169,233,233,134,138,276,288,163,163,103,105,185,187,236,240
Guelph,BGe2.4,125,125,355,365,125,125,136,136,222,222,118,120,0,0,115,117,151,159,227,231,132,134,278,280,157,159,103,103,185,185,240,242
Guelph,BGe2.5,125,125,359,361,115,115,140,140,216,232,118,120,161,161,121,121,161,167,227,227,136,140,274,280,163,163,105,105,187,187,238,240
Guelph,BGe2.6,121,125,355,363,115,115,140,150,220,236,116,118,157,157,115,115,163,169,229,239,136,138,270,272,167,167,103,103,181,187,240,240
Guelph,BGe2.7,125,125,361,361,115,123,138,150,216,230,120,120,161,161,121,123,165,165,227,239,134,134,268,274,155,161,101,103,181,183,236,236
Guelph,BGe2.8,119,125,359,361,111,117,142,142,216,216,108,120,157,157,115,121,161,167,231,235,132,136,270,274,161,161,99,99,183,183,236,238
Guelph,BGe2.9,121,121,355,361,111,115,138,138,216,226,110,120,153,161,0,0,157,165,227,233,136,136,274,284,163,163,99,103,183,183,236,236
Guelph,BGe2.10,121,125,359,361,111,115,138,138,222,222,110,118,157,157,115,115,161,161,231,235,0,0,270,276,163,163,103,111,183,183,236,236
Guelph,CGe3.1,125,125,355,363,111,117,140,140,216,216,110,120,153,163,115,121,157,167,235,237,142,144,270,274,163,163,101,101,179,183,236,238
Guelph,CGe3.2,121,125,359,361,111,115,150,150,0,0,110,114,161,161,121,121,165,165,227,235,134,140,270,282,161,163,101,103,181,183,236,238
Guelph,CGe3.3,121,123,359,359,111,115,142,142,216,226,120,120,153,165,121,123,157,169,227,235,138,142,270,272,163,171,101,101,171,185,236,236
Guelph,CGe3.4,121,125,359,361,111,115,142,142,216,222,118,120,153,161,117,121,157,165,227,231,134,140,272,278,155,167,101,111,183,183,236,236
Guelph,CGe3.5,121,123,355,363,111,115,140,150,216,222,110,118,151,151,115,121,151,157,227,233,136,138,270,272,161,161,103,103,183,183,234,236
Guelph,CGe3.6,125,125,361,363,111,115,142,142,222,222,110,120,153,153,121,121,157,169,229,235,130,142,264,270,163,163,101,101,183,183,234,236
Guelph,CGe3.7,121,125,361,365,111,117,140,146,216,230,120,120,157,157,121,121,157,161,233,237,132,144,282,284,163,163,105,111,183,183,234,234
Guelph,CGe3.8,121,121,361,365,107,115,144,144,216,216,110,120,153,153,123,123,151,151,231,231,140,140,0,0,163,167,99,99,179,179,236,236
Guelph,CGe3.9,123,125,355,355,111,115,0,0,216,216,110,120,151,151,121,121,151,157,227,227,132,146,280,288,163,167,103,103,181,181,236,236
Guelph,CGe3.10,121,121,361,365,111,115,142,142,216,222,110,110,163,163,123,123,159,171,231,237,138,138,286,290,161,163,103,103,183,183,236,236
Guelph,DGe4.1,123,125,361,365,107,115,140,150,226,226,110,118,151,151,119,121,155,167,233,237,132,136,274,280,155,155,101,103,181,189,236,236
Guelph,DGe4.2,119,123,355,361,111,115,150,150,216,220,110,120,157,157,121,121,161,161,233,237,138,140,270,274,155,161,101,103,179,187,236,236
Guelph,DGe4.3,123,125,361,365,107,117,140,140,222,230,110,110,159,163,117,121,163,167,237,237,140,144,278,282,155,155,103,103,185,185,236,238
Guelph,DGe4.4,125,125,361,363,115,115,140,146,216,230,120,120,161,161,121,123,165,165,235,237,142,142,264,272,157,157,97,103,179,181,236,240
Guelph,DGe4.5,121,125,363,363,111,115,140,140,224,224,120,120,153,161,121,121,165,165,235,237,134,140,266,270,157,163,101,101,179,181,238,238
Guelph,DGe4.6,125,125,359,361,111,115,140,140,222,222,110,120,165,165,119,121,155,169,233,235,134,140,264,276,151,163,101,103,181,181,234,236
Guelph,DGe4.7,125,125,355,361,111,119,142,142,226,226,112,120,161,165,121,121,165,165,233,233,132,134,262,276,155,167,103,103,183,183,236,236
Guelph,DGe4.8,123,125,355,365,111,115,142,142,224,224,110,120,163,165,121,123,167,169,233,235,132,140,262,266,155,161,103,103,183,183,236,236
Guelph,DGe4.9,121,121,361,363,111,115,148,152,222,222,110,116,153,163,121,121,157,167,227,237,132,134,276,284,161,163,97,105,185,185,236,236
